abandon,v 拋棄；遺棄 
instructor,n 教練；指導者 
instrument,n 樂器；儀器；器具 
instrumental,a 用樂器演奏的；有幫助的 
insult,v 侮辱；羞辱 
insurance,n 保險；保險契約 
insure,v 保證；確保 
integrity,n 正直 
intelligence,n 聰明才智 
intend,v 想要；打算 
intense,a 強烈的；劇烈的 
intensify,v 加強；增強 
intensive,a 加強的；密集的 
intent,v 意圖；目的 
intention,n 意圖；目的 
interchangeable,a 可交換的 
interest,n 興趣；喜好；利息 
interfere,v 妨礙；衝突 
interior,a 內部的；內側的 
intermittent,a 間歇的；週期性的 
internal,a 內部的 
international,a 國際的 
internationalize,v 使國際化 
interpret,v 解釋；說明 
interpreter,n 口譯者 
interrupt,v 打擾；干擾 
interruption,n 打擾；干擾 
interview,n 訪談；面試 
interviewee,n 被面試的人 
interviewer,n 採訪者 
intricate,a 錯綜複雜的；複雜精細的 
introduce,v 介紹；引見 
introduction,n 介紹；引見 
introductory,a 介紹的 
invent,v 發明；創造 
invention,n 發明；創造 
inventive,a 發明的；創造的 
inventor,n 發明家；創作者 
inventory,n 存貨清單；目錄 
invest,v 投資 
investment,n 投資 
investor,n 投資者 
invisible,a 看不見的；無形的 
invitation,n 邀請；邀請函 
invite,v 邀請 
invoice,n 發票；發貨單 
involve,v 涉入；參與 
involvement,n 參與 
irrelevant,a 不相干的 
issue,v 發行；配給 n問題；爭論
item,n 項目；條款 
itemize,v 分條列述；詳細列舉 
itinerary,n 旅程；路線 a旅行的；旅程的
janitor,n 看門人的工友 
job,n 工作；職業 
jobless,a 失業的 
jog,n 慢跑；緩行 v慢跑；輕搖
join,v 參與；參加 
joint,n 關節；接合點 
journal,n 日報；雜誌 
journalist,n 新聞工作者 
journey,n 旅行 
judge,v 審判；判決 n法官；評判
judgmental,a 判定的 
junction,n 連接；接合；交叉點 
justice,n 正義；公平 
justify,v 證明無罪；開釋K 
keen,a 熱心的；敏銳的 
keenly,ad 敏銳地；銳利地 
keep,v 持有；保有 
keeper,n 飼養者；保管人 
key,n 鑰匙；關鍵 
keyboard,n 鍵盤 
kick,v 踢；剔除 
kickoff,n 開球；開始 
kid,n 小孩；兒童 
kidna,v 綁架 
kidnapper,n 綁票者 
kidney,n 腎臟 
kilogram,n 公斤 
kilometer,n 公里 
kin,a 同類的；類似的 n家族；親戚
kind,a 親切的；和藹的n 種類
kindly,a 親切的；和藹的ad 親切地；勞駕，請
kindness,n 親切；寬大 
kit,n 成套工具 
know,v 知道；了解 
knowingly,ad 熟悉地 
knowledge,n 知識 
knowledgeable,a 博學的；有見識的 
lab,n 實驗室 
label,n 貼紙；標籤 v貼標籤於
labor,n 勞工；勞動 v勞動；艱苦地幹活
laboratory,n 實驗室 
lack,v 缺少；缺乏 n欠缺；不足
lacking,a 缺乏的 
lag,v 落後；延遲 n落後；延遲
laid-back,a 懶散的；閒散的 
lamentl,n 哀悼；悲痛；v 哀悼，悲痛
lamp,n 燈；油燈 v照；照亮
land,n 陸地；田地；地產 v登陸；降落
landing,n 降落，著落 
landlady,n 女房東；女地主 
landlord,n 地主；房東 
landmark,n 地標；里程碑 
landscape,n 風景；景色 
landscaper,n 庭園設計家 
languish,v 變得無生氣；衰弱 
lapse,v 時間流逝；跌落v 流逝；背離
large,a 大的；巨大的 
large-scale,a 大規模的 
lash,n 鞭打；抽打 v鞭打；抽打
last,v 持續；維持 
lasting,a 持久的；持續的 
last-minute,a 最後的 
late,a 遲的；已故的；晚期的 ad遲到；來不及
lately,a 近來；最近 
later,a 較晚的；更晚的ad 後來；以後
latter,a 後者的；後面的 
launch,v 發射；發動 n發射；發行
laundry,n 洗衣店；送洗的衣服 
lavatory,n 盥洗室；洗手間 
law,n 法律；規則 
lawful,a 合法的；法定的 
lawsuit,n 訴訟 
lawyer,n 律師 
lay,v 放；擱；下蛋 
layer,n 層；階層 
layoff,n 解雇 
layout,n 安排；設計陳列 
lead,v 領導；帶領 
leader,n 領導 
leading,a 領路的；帶領的 
leaflet,n 傳單；單張印刷品 
league,n 同盟；聯盟 v同盟；聯盟
leak,n 漏洞；裂縫 v洩漏
leakage,n 漏；洩漏 
lean,v 傾身；屈身 
leap,v 跳過；越過 n跳；跳躍
learn,v 學習；學會 
lease,n 租約；租契 v出租
least,a 最小的；最少的 
leathe,n 皮革 a皮的；皮革製的
leave,v 離開；脫離 
lecture,n 授課；演講 
legal,a 合法的；正當的 
legalize,v 使合法化 
legitimate,a 合法的；正統的 
leisure,n 閒暇；空暇時間 a空閒的
lend,v 借；提供 
lesson,n 課程；學習 
letter,n 信；書信 
letterhead,n 印在信紙的信頭 
level,n 水平面；程度 a同水平的；同程度的v
leverage,n 手段；力量；影響力 
liability,n 傾向責任 
liable,a 易⋯⋯的；可能的 
liberal,a 開明的；不守舊的 
library,n 圖書館 
license,n 證照；許可 v發許可證給
lifestyle,n 生活方式 
likelihood,n 可能；可能性 
likely,a 適當的；可能的ad 很可能
limit,v 界線；界限 v限制；限定
limited,a 有限的；不多的 
link,n 連結；聯繫 v連接；結合
list,n 表；名冊 
litter,n 廢棄物；雜亂 v弄得亂七八糟；使充滿
load,n 負擔；重任 v裝；裝載
loan,n 貸款 v借出；貸與
local,a 當地的；本地的n 本地人
locate,v 設置在；座落於 
located,a 坐落的；位於的 
location,n 地點；定位 
lock,n 鎖 v鎖上
locksmith,n 鎖匠 
logistics,n 物流；運籌 
logo,n 標識 
loom,n 織布機 
lose,v 丟失；輸去；賠錢 
loss,n 喪失；遺失 
lounge,n 閒蕩；躺椅 v閒蕩；閒逛
loyal,a 忠誠的；忠心的 
loyalty,n 忠誠；忠心 
lucrative,a 賺錢的；有利可圖的 
luggage,n 行李 
lumber,n 木材；木料 n採伐
mad,a 發瘋的；發狂的 
madness,n 瘋狂；神經錯亂 
magazine,n 雜誌 
magnificent,a 壯麗的；宏偉的 
mail,n 信件：郵件 v郵寄
mailing,n 郵寄；郵件 
main,a 主要的；最重要的 n主要部分；要點
mainframe,n 主機；中央處理器 
maintain,v 維持；保持 
maintenance,n 維持；保持 
major,a 主要的；一流的 
majority,n 多數派；大多數 
mall,n 購物中心 
manage,v 管理；經營 
management,n 管理；經營 
manager,n 經理；主任 
managerial,a 管理人的；經理的 
mandate,n 命令；指令 
manner,n 方式；態度；禮貌 
manual,a 手的；手工的n 手冊；便覽
manually,ad 手工地 
manufacture,v 製造，加工 n製造業；製品
manufacturer,n 製造業者；廠商 
margin,n 邊；邊沿 
mark,n 痕跡；汙點；記號 v記下；標明
market,n 市場；銷路 
match,n 比賽；競賽 v相配；相適合
maternal,a 母親的；母性的 
matter,n 事情；問題；事件 v有關係；要緊
maximum,n 最大量；最大數 a最大的；最多的
mayor,n 市長 
mean,a 吝嗇的；小氣的v 表示⋯的意思
meaning,n 意思；含義a 意味深長的
measurable,a 可測量的 
measure,v 測量；計量n 措施；手段
measurement,n 測量；測定 
medicine,n 藥；良藥 
mediocre,a 中等的；平凡的 
medium,n 媒介物；手段 
member,n 會員 
membership,n 會員身分；全體會員 
memo,n 備忘錄 (=memorandum)v記入
mend,v 修補；改善 n好轉；痊癒
mental,a 精神的；心理的 
mention,v 提到；說起 n提到；說起
mentor,n 導師 
menu,n 菜單；功能選單 
merchandise,n 商品；貨物 v買賣；經營
merge,v 合併；融合 
merger,n （公司等的）合併 
message,n 信息；消息v 通知；聯繫
messenger,n 送信人；使者 
method,n 方法；手段 
meticulous,a 過分精細的；小心翼翼的 
metropolitan,a 大都市的 
midday,n 正午；中午 
midmorning,n 上午之中段時間 
mid-range,a 中等的；平均的 
mild,a 溫和的；溫柔的 
mildly,ad 溫和地；溫柔地 
millennium,n 千年期 
minimum,n 最小量；最小數 a最小的；最少的
minority,n 少數；少數派 
minute,n 分鐘；一會兒v 記錄下來
minutely,a 每分鐘的；持續的 ad仔細地；持續
miserable,a 痛苦的；不幸的 
miserably,ad 痛苦地；艱苦地 
mission,n 使命；任務；傳教團 v派遣；傳教
mistake,v 弄錯；誤解 n錯誤；過失
mistaken,a 弄錯的；誤解的 
mistreat,v 虐待 
mistreatment,n 虐待 
misunderstand,v 誤會；曲解 
misunderstanding,n 誤會；曲解 
mitigate,v 使緩和；減輕 
mobilize,v 動員；調動 
moderately,ad 適度地；有節制地 
modest,a 謙虛的；審慎的 
modification,n 修改；改變 
momentum,n 氣勢；衝力 
monetize,v 定為貨幣 
money,n 錢；貨幣 
monitor,n 顯示器；螢幕v 監控；監聽
mood,n 心境；情緒；氣氛 
moral,a 道德的 n道德；品行
mortgag,n 抵押 v抵押
motivate,v 刺激；激發 
motivation,n 刺激；推動 
motive,n 動機；主旨 a起動的；推動的v激起
move,v 移動；推動 
movement,n 運動；活動；行動 
mul,v 深思熟慮 n亂糟糟；混亂
myriad,n 無數；大量 a無數的；大量的
nag,v 嘮叨；責罵不休 n好嘮叨的人
nail,n 釘子；指甲 v釘牢；使固定
naive,a 天真的；幼稚的 
name,n 名字；姓名 v提名；任命
namely,ad 即；那就是 
narrate,v 敘述；作旁白 
narration,n 敘述；講述 
narrator,n 敘述者；講述者 
narrow,a 狹的；狹窄的v 變窄；收縮
narrowly,ad 狹窄地；勉強地 
nation,n 國民；國家 
national,a 全國性的；國家的 n國民；國人
nationality,n 國籍 
nationwide,a 全國性的ad 在全國
native,a 天生的；本國的n 本地人
natural,a 自然的；不做作 
naturally,ad 自然地；天然地 
nearby,a 附近的 ad附近的
necessarily,ad 必定；必然地 
necessary,a 必要的，必需的 
necessity,n 需要；必要性 
need,n 需要；必要 v需要
neglect,n 忽視；忽略 v忽視；忽略
neglectful,a 疏忽的；不注意的 
negligence,n 疏忽；粗心 
negotiable,a 可協商的 
negotiate,v 協商；交涉 
negotiator,n 磋商者；交涉者 
nevertheless,ad 仍然；不過 
news,n 新聞；消息 
newsletter,n 報紙 
nexus,n 連結；連鎖 
nominate,v 提名；任命 
nomination,n 提名；任命 
nominee,n 被提名人 
note,n 筆記；記錄 v注意；記下
notebook,n 筆記本 
notice,v 注意；留意 
novel,n 小說 
novelty,n 新穎；新奇 
null,a 無效的；無價值的 
nurse,n 護士 
nursing,n 看護；護理 
nurture,n 養育；教養 v養育；培育
nutrient,a 營養的；滋養的 n營養物
nutrition,n 營養；滋養O 
object,n 對象；目標 v反對
objection,n 反對；異議 
objective,a 客觀的；如實的 
obligation,n 義務；責任 
obligatory,n 義不容辭的；有義務的 
observe,v 觀察；注意 
obsolete,a 廢棄的；淘汰的 
obtain,v 得到；獲得 
obvious,a 明顯的 
obviously,ad 明顯地 
occasion,n 場合；狀況 
occupancy,n 佔有；入住 
occupation,n 工作，職業 
occupied,a 佔用的；在使用的 
occur,v 發生；出現 
occurrence,n 發生；出現 
offence,n 罪過；犯法 (=offense)
offender,n 違法者；犯規的人 
offense,n 罪過；犯法 
offensive,a 冒犯的；唐突的 
offer,v 提供 
office,n 辦公室；職務 
official,a 官方的；公務上的 
offset,v 補償；抵銷 n補償；抵銷
omission,n 遺漏；省略 
omit,v 遺漏；省略 
operate,v 營業；運轉 
operation,a 營業；運轉 
operational,a 操作上的；經營上的 
operator,n 操作者 
opinion,n 意見；評論 
opportune,a 恰好的；適宜的 
opportunity,n 機會 
opposite,a 相反的；對立的 ad在對面prep
option,n 選項；選擇 
order,n 順序；狀況；命令 v命令；指揮
ordinarily,a 通常地；慣常地 
ordinary,a 平凡的；通常的 
organize,v 組織；安排 
origin,n 起源；由來 
original,a 本來的；最初的 
originality,n 創造力；獨創性 
originally,ad 本來的；最初的 
originate,v 發源；來自 
outbound,a ad 向外去的；駛向外國的
outdo,v 勝過；超越 
outdoor,a 戶外的，露天的 
outer,a 外面的；外表的 
outgoing,a 友好的; 外向的
outgun,v 火力壓過；武器多於 
outlaw,n 歹徒；罪犯 v法律上失效
outlet,n 銷路；商店 
outline,n 外形；輪廓 v概述；略述
outlook,n 觀點；看法 
outmaneuver,v 以計謀勝過 
out-of-date,a 不流行的 
output,v 出產；生產 n出產；生產
outrage,n 惡行；暴行 v傷害；違反
outrageous,a 可憎的；可恥的 
outrun,v 超過；超出 
outskirt,n 市郊；郊區 
outsmart,v 用計謀打敗 
outstanding,a 顯著的；傑出的 
outward,a 向外的；往外去的 ad向外的；往外去
outweigh,v 比⋯⋯重；超過 
overall,a 總的，全部的n 工作褲
overcome,v 戰勝；克服 
overhead,a 在頭頂上的；在上頭的 ad在上頭；
overlap,v 部分重疊 
overlook,v 看漏；忽略 
overseas,a 在海外；在國外 
oversee,v 監視；監督 
overtime,n 加班 a超過時間的ad超過地
overview,n 概觀；概要 
overwhelm,v 戰勝；征服 
ow,v 欠；歸功於 
own,a 自己的 v有；擁有
owner,n 物主；所有人P 
package,n 包裹；包 
panel,a 控制板；陪審員名單 
paragraph,n （文章的）段；節 
part,n 部分；本分 v分開；使分離a部分ad部
partial,a 部分的；局部的 
participant,n 參與者 
participate,v 參加；參與 
particular,a 特有的，獨特的 
particularly,ad 特別；尤其 
partner,n 夥伴；同伴 
partnership,n 合夥關係 
part-time,a 兼職的 
party,n 聚會；派對；黨派 
pass,v 穿過；通過 n通行證；護照；入場證
passage,n 通行；走廊 
passenger,n 乘客 
passport,n 護照 
patch,n 補釘；補片 v補綴；修補
path,n 小徑 
patience,n 耐心 
patient,a 有耐心的 
pattern,n 花樣；圖案 
pay,v 付；支付 n薪俸；報酬
payable,a 應支付的；到期的 
payment,n 支付；付款 
payroll,n 薪金總額；發薪名單 
peace,n 和平；平靜 
peaceful,a 和平的；安詳的 
peculiar,a 奇怪的；乖癖的 
penalize,v 處罰；處刑 
penalty,n 處罰；刑罰 
perceive,v 察覺；感知 
percent,n 百分比；百分率 
percentage,n 百分率；百分比 
perception,n 感知；感受 
perfect,a 完美的；理想的 
perform,n 表演；實施 v使完美；做完
performance,n 表演；成效 
perhaps,ad 也許；大概 
period,n 時期；期間；生理期 
periodical,a 週期的；定期的 
permanent,a 永恆的；永遠的 
permit,v 允許；許可 
persistence,n 持續的；持久的 
persistent,a 持續的；持久的 
personnel,n 人員；員工 
perspective,a 透視的 n看法；觀點
persuade,v 說服；勸服 
persuasion,n 說服；勸服 
pertain,v 從屬；附屬 
pertinent,a 恰當的；貼切的 
petrol,n 汽油 
Ph.D.,n 博士學位 (=Doctor of Philosophy) 
pharmacy,n 藥房 
photo,n 照片 
photograph,n 攝影照 
photographer,n 攝影師 
pile,n 堆；一堆 v堆積；疊
pin,n 大頭針；別針 v別住；釘住
pioneer,n 拓荒者；開拓者 
pipeline,n 渠道；路線 
pitch,v 投；擲；定在 n音高；程度
place,n 地點；地區；身分 v放置；安置
placement,n 布置 
placid,a 平靜的；寧靜的 
plain,a 簡樸的；坦白的n 平原；曠野
plan,n 計畫；方案 v計畫；打算
plane,n 飛機 
planet,n 行星 
plant,n 植物 
please,v 請；討人喜歡；討好 
pleased,a 喜歡的；滿意的 
pleasure,n 愉悅；滿足 
plug,n 塞子，栓； v塞住；接通電源
plumber,n 水管工 
pocket,n 口袋；財力 a袖珍的；小型的
policy,n 政策；方針 
polite,a 有禮貌的；客氣的 
poll,n 投票；選舉 v投票
pollute,v 汙染 
pollution,n 汙染 
ponder,v 仔細考慮；衡量 
population,n 人口 
portable,a 手提式的；輕便的 
portfolio,n 文件夾；個人作品 
pose,n 姿勢 v擺姿勢；裝腔作勢
position,n 位置；姿態 
possess,v 擁有；佔有 
possession,n 擁有；所有物；財產 
possibility,n 可能性 
possible,a 可能的 
post,n 崗位；哨所 
postage,n 郵資；郵費 
posting,n 任命；委任職位 
postmaster,n 郵政局長 
postpone,v 延遲 
posture,n 姿勢；姿態 
potency,n 權力；效力 
potential,a 有潛力的；可能的 
power,n 力量；權力 
powerful,a 強大的；權力大的 
PR,n 公共關係 (=publicrelations)
practical,a 有用的；實際的 
practice,v 練習 
precise,a 精準的 
precisely,ad 精準地 
precondition,n 先決條件 v使⋯預先適應
predict,v 預言；預知 
predictable,a 可預言的 
prediction,n 預言；預報 
predisposition,n 傾向；素質 
predominate,v 主宰；支配 
preface,n 序言；引語 v作為⋯⋯的開端
prefer,v 偏好 
preference,n 偏好；喜愛 
prejudice,n 偏見；歧視v 損害；偏見
premises,n 生產場所；經營場址 
premium,a 高價的；優質的 n獎品；獎金
prepaid,a 預先付的 
prepare,v 準備 
prescription,n 命令；指示；處方 
present,a 現在的；當前的；出席的 n現在；目
preserve,v 保存；保藏 
president,n 總統；會長；主席 
press,v 按；壓；迫使 n報刊；新聞界
pressure,n 壓力 
presume,v 設想；相假設 
pretend,v 假裝；佯裝 
pretense,n 假裝；矯飾 
pretentious,a 矯飾的；做作的 
prevail,v 勝過；戰勝 
prevalent,a 流行的；盛行的 
prevent,v 防止；預防 
preventive,a 預防的；防止的 
previous,a 以前的 
previously,ad 事先；以前 
price,n 費用；價錢 
priceless,a 貴重的；無價的 
primarily,ad 首先；起初；主要地 
prime,a 最初的；原始的 
principal,a 主要的；首要的 
principle,n 原則；原理 
prior,a 在前的；居先的 
prioritize,v 按優先順序處理 
priority,n 優先；重點 
privacy,n 隱私 
private,a 隱私的 
privatize,v 使私有（民營）化 
privilege,n 特權；優特 
prize,n 獎品；獎賞 
probably,ad 大概；或許 
procedure,n 程序；手續 
proceed,v 開始；著手；出發 
process,n 過程；進程 v處理；辦理
procure,n 引起；導致 
procurement,n 取得；採購 
product,n 產品；成品 
production,n 生產；製作 
productivity,n 生產力；生產率 
profession,n 職業；同業 
professional,a 專業的 
proficiency,n 精通；熟練 
profit,v 得益；獲益 n利潤；盈利
profitable,a 有利的；贏利的 
profound,a 深刻的；深切的 
program,n 計畫；方案；節目 
programmer,n 程式設計師 
progress,v 前進；進行n 前進；進行
progression,n 前進 
prohibit,v 禁止；妨礙 
project,v 計畫；投射 
projection,n 投擲；發射；投影 
prolific,a 多產的；豐富的 
prolong,v 延長；拖延 
promise,v 承諾；允諾 n承諾；允諾
promote,v 晉升；促進 
promotional,a 增進的；獎勵的 
proof,n 證據；物證 a能抵擋的
proper,a 適合的；適當的 
property,n 資產；所有物 
proposal,n 計畫；提案；求婚 
propose,v 計畫；建議；求婚 
prospect,n 指望；預期v 勘探
protect,v 保護；防護 
protection,n 保護；防護 
proud,a 驕傲的；有自尊心的 
prove,v 證明；證實 
provide,v 提供 
proximity,n 接近；鄰近 
public,a 公眾的 
publication,n 出版物；公布 
publicize,v 宣傳；公布 
publish,v 出版；發行 
publisher,n 出版社 
punish,v 處罰 
punishment,n 處罰 
purchase,v 購買；獲得 
pure,a 純潔的；完全的 
purely,a 純粹地 
purify,v 使純淨；淨化 
purpose,n 目的；意圖 
pursue,v 追求；求愛；追趕 
pursuit,n 追求；尋求Q 
qualification,n 資格；能力 
qualify,v 使具有資格；使合格 
quality,n 品質；特性 a優良的
quantity,n 數量；分量 
quarrel,n 爭吵；不和 v爭吵；不和
quarter,n 四分之一；季度 
quarterly,a 季度的 ad一季一次地
question,n 問題；詢問v 訊問；審問
questionable,a 可疑的；成問題的 
queue,n 行列；長隊 v排隊
quick,a 快速的；迅速的 
quickly,ad 快速地 
quiet,a 寧靜的；安定的n 安靜；靜謐v平靜下
quit,v 解除；退出 
quite,ad 完全；徹底 
quotation,n 引用；引證 
quote,v 引用；引述 n引號；引語
race,n 賽跑；比 v比速度；參加競賽
racial,a 人種的；種族的 
radical,a 根本的；基本的 n根部；基礎
radio,n 無線電；收音機 
radioactive,a 放射性的 
radius,n 半徑；半徑距離 
railroad,n 鐵路 
raise,v 舉起；抬起 n加薪；提高
random,a 胡亂的；隨便的 
randomly,ad 任意地；隨便地 
range,n 排，行；一系列 
rank,n 等級；地位 
rapid,a 快的；迅速的 
rapidly,ad 很快地；立即 
rare,a 稀有的；罕見的 
rarely,ad 很少；難得 
rate,v 比例；率 
rather,ad 相當；頗 
rational,a 理性的；有理性的 
reac,v 抵達；達到 n可及之範圍
read,v 閱讀；攻讀 n讀物
reader,n 讀者 
readership,n 讀者們 
readiness,n 準備就緒 
ready,a 準備好的；願意的 
realization,n 領悟；認識 
realize,v 領悟；實現 
reason,n 理由 
reasonable,a 合理的；正當的 
rebel,n 反抗者 a反叛的
rebellion,n 反叛；造反；叛亂 
rebound,v 彈回；跳回 
rebuild,v 重建；改建 
recall,v 回想；回憶 
receipt,n 收據 
receive,v 收到；接到 
recent,a 新近的；最近的 
recently,ad 最近 
reception,n 接待；歡迎 
receptionist,n 接待員 
recharge,v 再充電於；再裝填彈藥於 
recipient,n 接受者；受領者 a接受的；受領的
reclaim,v 使改過；使悔改 
recognition,n 認出；識別 
recognizable,a 可辨認的 
recognize,v 認出；識別 
recommend,v 推薦 
recommendation,n 推薦 
reconsider,v 重新考慮 
record,v 記載；記錄 
recover,v 復原；恢復 
recovery,n 復原 恢復
recruit,v 徵募；僱用 
recruitment,n 徵募；僱用 
rectangle,n 矩形；長方形 
rectify,v 矯正；改正 
reduce,v 減少；縮小 
refer,v 提到; 談論
reference,n 提及；參考文獻 
reflect,v 反射；照出 
reflection,n 倒影；反省 
refund,n 退還；償還 
refurbish,v 再磨光；刷新 
refusal,n 拒絕 
refuse,v 拒絕 
regard,n 注重；問候 v把⋯認為
regarding,prep 關於；就⋯⋯而論 
regardless,ad 不顧一切地 a不注意的；不留心
region,n 地區；地帶 
registering,a 登記的；註冊的 
regular,a 規則的；有規律的 
regularly,ad 定期地；有規律地 
regulate,v 管理；控制；校準 
regulation,n 規章；規則a 標準的；正規的
rehearsal,n 排練；試演 
rehearse,v 排練；排演 
reimburse,v 償還；歸還 
reimbursement,n 償還；退款 
reinforce,v 增援；加強 
reinforcement,n 增援；加強 
reiterate,v 重做；重申 
reject,v 拒絕 
rejection,n 拒絕；反對 
relate,v 使有聯繫；有關；涉及 
relation,n 關係；關聯 
relationship,n 人際關係；戀愛關係 
release,v 釋放；發行 n釋放；解放
relevant,a 有關的；切題的 
reliable,a 可信賴的；可靠的 
relief,n 緩和；減輕 
relocate,v 重新安置 
rely,v 倚靠；依靠 
remain,v 剩下；餘留 
remake,v 再製；改造 
remark,v 談到；評論 n言辭；談論
remarkable,a 非凡的；卓越的 
remember,v 記得；記住 
remind,v 提醒 
remote,a 遙遠的；偏僻的 
remotely,a 遙遠地；間接地 
removal,n 移動；調動；免職 
remove,v 移動；調動 
render,v 使得；提出 
renew,v 使更新；使復原 
renewal,n 更新；復原 
renovation,n 更新；修理 
renowned,a 有名的；有聲譽的 
rent,n 租金；租費 v出租
rental,a 租賃的 n租金；出租
repair,v 修理；修補 n修理；修補
repeat,v 重複；重做 n重複；複寫
repetition,n 反覆背誦 
repetitive,a 重複的 
replace,v 放置；替代 
replacement,n 取代；更換 
replay,v 重演；重播 n重演；重播
reply,v 回答；答覆 
report,v 報導；記述；告發 n報告；報導
represent,v 描繪；代表 
representative,a 代表性的 n典型；代表物；
reputation,n 名譽；名聲 
request,v 要求；請求 n要求；請求
require,v 需要；要求 
requirement,n 需要；必需品 
reschedule,v 改期；重新編排 
research,v 研究；調查n 研究
resemblance,n 相似；相貌相似 
resemble,v 像；類似 
reservation,n 預定；保留 
reserve,v 儲備；保存 
residence,n 住所；住宅 
resident,n 居民 a居住的；定居的
residential,a 居住的；住宅的 
residual,a 殘留的；剩餘的 
residue,n 殘餘；剩餘 
resign,v 放棄；辭去 
resignation,n 辭職；放棄 
resist,v 抵抗；反抗 
resistance,n 抵抗；反抗 
resolute,a 堅決的；堅定的 
resolve,v 解決；決心 n決心；決意
resource,n 資源；物力 
respect,n 敬重，尊敬 
respond,n 回答；答覆 
response,n 回答；答覆 
responsible,a 需負責任的；承擔責任的 
responsive,a 回答的；應答的 
restriction,n 限制；約束 
resume,v 恢復；重返 n梗概；履歷
retail,n 零售 v零售a零售的
retailer,n 零售商；零售店 
retai,v 保留；保持 
retainable,a 能保持的；可保留的 
retainer,n 保留者；家臣 
retire,v 使退卻；使退休 
retirement,n 退休；退職 
retrieve,v 重新得到；收回 
return,v 返回；歸 
reveal,v 展現，顯露出n 揭示；揭露
revenue,n 收入；稅收 
reverse,a 相反的；反向的 v顛倒；翻轉n相反
review,v 批評，評論；檢閱 
revise,v 修訂；校訂 
revision,n 修訂；校訂 
revive,v 甦醒；復甦 
revolve,v 旋轉；自轉 
reward,n 報答；報償 v報答；報償
rigorous,a 嚴格的；嚴厲的 
rise,v 上升；升起 n上升；興盛
rival,n 競爭者；對手 v競爭a競爭的
rivalry,n 競爭；對抗 
robust,v 強健的；茁壯的 
route,n 路線；路程 
routine,n 例行公事 a例行的
royal,a 皇家的；盛大的 
royalty,n 皇族；王位；王權 
rule,n 規則；規定 v統治；管轄
run,v 跑；競選 n跑；路程；暢銷
rush,v 衝，奔；催促 n匆忙；緊急
sacrifice,n 牲禮，祭品v 犧牲；獻出
sadden,v 使悲傷；使難過 
sadly,ad 悲哀地；傷心地 
sadness,n 悲哀；悲傷 
safe,n 平安的；無損的 
safeguard,v 保護；防衛n 保護；防衛
safety,n 安全；平安 
salary,n 薪資；薪水 
sale,n 賣；出售；拍賣 
salvage,n 搶救；挽救 v救助；營救
sample,n 樣品，樣本 v品嚐；體驗a樣品的
sanitary,n 公共廁所 a衛生的；清潔的
satisfaction,n 滿意；滿足 
satisfy,v 使滿意；使高興 
savvy,v 懂；知曉 
scale,n 大小；規模 v攀登；增加
scan,v 細看；審視 n掃描；細看
scanner,n 掃描機 
scene,n 布景；景色；背景 
scenery,n 景色；風景 
schedule,n 時間表 v安排；預定
scope,n 顯微鏡；望遠鏡 
scratch,v 抓；搔劃出 n刮痕；抓痕a湊合的
screen,n 螢幕；掩蔽物 
scrutinize,v 詳細檢查；細看 
seam,n 縫；縫合處 v縫合；接合
seamlessly,ad 無縫地 
search,v 搜查；探究 n搜查；搜尋
season,n 季節 
secret,n 秘密 
section,n 部分；區域 
secure,a 安全的，無危險的 v使安全；掩護
security,n 安全感；防備；保安 
seek,v 尋找；探索 
segment,n 部分；部門v 分割；切割
seldom,ad 不常；很少 a很少的；難得的
select,v 選擇；挑選 a上等的；優等的
selection,n 選擇；選拔 
selective,a 有選擇性的 
self,n 自身；自己 
self-employed,a 自由業的；自僱的 
semester,n 半學年；一學期 
seminar,n 專題討論會 
senior,a 年長的；前輩的 n前輩；上司；學長
sense,n 感官；官能；見識 v了解；領會
sensible,a 明智的；合情理的 
sensitive,a 敏感的；靈敏的 
separate,v 分隔；分割 
separation,n 分開；分居 
sequence,n 連續；接續 
series,n 連續；系列 
serious,a 嚴重的；危急的 
serve,v 服務 
service,n 服務；效勞 v服務；效勞
session,n 會議；集會 
set,v 放；置；開始 a固定的；不變的n一套；
setback,n 挫折；失敗 
setup,n 組織；機構 
several,a 幾個的；數個的 
severe,a 嚴重的；劇烈的 
severely,ad 嚴重地；劇烈地 
shape,n 形狀；樣子 v使成形；塑造
share,v 分享 
shareholder,n 股東 
sharp,a 尖銳的；苛刻的ad 幾點整
shelf,n 架子 
ship,n 船；艦 v運送；裝運
shipment,n 運輸；運送 
shipping,n 運輸；運輸業 
shortage,n 缺少；不足 
should,aux 可能；該 
shredder,n 碎紙機 
sight,n 視覺；景象；觀光地 v看見；發現
sign,n 徵象；前兆 v簽名於；簽署
significance,n 重要性；重要 
significant,a 有意義的；重要的 
signify,v 表示；預示 
similar,a 相像的；相仿 
simulate,v 假裝；冒充 
simulation,n 偽裝；模仿 
sincere,a 衷心的；真誠的 
sincerely,ad 真誠地；誠懇地 
sinful,a 罪孽深重的；有罪的 
sink,v 下沉；下陷 n水槽
site,n 地點；場所 
situation,n 狀況；處境 
size,n 尺寸 
skill,n 技巧；技術 
skillful,a 有技巧的 
skim,v 撇去；瀏覽；略讀 n脫脂牛奶
slash,v 減低；砍傷；抨擊 n砍傷；砍痕
slice,n 薄片；切片 v切下；割去
slip,v 滑動；滑跤 n失足；疏忽；錯誤
slippery,a 滑的；油滑的 
slogan,n 口號；標語 
